id_reverberation_post;author;text;date_reverberation;favourites;retweets;local;sentiment
1555385572344172544;ronaldobianque9;"RT @FabioSi97854255: #capitaodopovo
Credencial de estacionamento para idosos agora é emitida on-line,que livra o cidadão das filas, foi cri…";2022-08-05;0;1;;-1
1555381713941012480;FabioSi97854255;"#capitaodopovo
Credencial de estacionamento para idosos agora é emitida on-line,que livra o cidadão das filas, foi… https://t.co/sG6fBNG4ZI";2022-08-05;0;1;;-1
1555380366659166212;BolsonaroTruump;"RT @Carolmph: Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi criado pe…";2022-08-05;0;12;;-1
1555372946058797059;carlosagrodrigu;"#BolsonaroReeleito2022 
Credencial de estacionamento para idosos agora é emitida on-line.
Novo recurso, que livra o… https://t.co/vLPD0xEynG";2022-08-05;0;0;RIO DE JANEIRO, capital ;-1
1555367721981906945;ketquel;Coisas do Bolsonaro!!!! 🤣🤣🤣🤣🤣🤣 Facilitando a vida dos velhinhos que dirigem!!!! 🤣🤣🤣🤣👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 https://t.co/5Qull5JfZ0;2022-08-05;3;0;Rio de Janeiro 🇧🇷🇧🇷🇧🇷;-1
1555353929101221893;PaulaKah6;"RT @Carolmph: Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi criado pe…";2022-08-05;0;12;Brasil;-1
1555352926754848768;RobertoLindoso1;"RT @Apatriota_: Credencial de estacionamento para idosos agora é emitida on-line.

Confira o passo a passo: https://t.co/U747BzuwnH https:/…";2022-08-05;0;1;Brasília, Brasil;-1
1555352759272185857;ServioBasto;Credencial para idosos estacionarem já pode ser emitida no site da Senatran https://t.co/G3Gk6OikhR via @SERPRO;2022-08-05;0;0;Vitória-ES, Brasil;-1
1555345124808327171;guerra73651275;"RT @VilmaReis15: Credencial de estacionamento para idosos agora é emitida on-line.
Novo recurso, que livra o cidadão das filas, foi criado…";2022-08-05;0;2;Nova Iorque, USA;-1
1555332395158540288;convergencia;Trabalhadores do Serpro decidem fazer greve a partir de 10 de agosto https://t.co/MU0heD7Kfc;2022-08-04;0;2;;-1
1555325247976620032;Henriquexmaia;"RT @nanekarpusniak: Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi cri…";2022-08-04;0;2;;-1
1555324564183318528;curimim;"RT @nanekarpusniak: Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi cri…";2022-08-04;0;2;aquiraz ce;-1
1555323414285541377;r1abreu;"RT @Carolmph: Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi criado pe…";2022-08-04;0;12;;-1
1555323196924203008;SeixasRaul1;RT @capitaldigital: Por falta de acordo nas negociações trabalhistas, foi aprovada greve no Serpro para o dia 10 de agosto. A paralisação a…;2022-08-04;0;8;;-1
1555321776099495936;Malelo2711;RT @capitaldigital: Por falta de acordo nas negociações trabalhistas, foi aprovada greve no Serpro para o dia 10 de agosto. A paralisação a…;2022-08-04;0;8;Brasil;-1
1555321196106973186;messiasmelo;RT @SindpdPE: Logo mais, às 14h, será realizada Assembleia Virtual com os/as trabalhadores/as do SERPRO, para deliberar sobre a proposta de…;2022-08-04;0;0;Brasil;-1
1555321175860977665;messiasmelo;"RT @SindpdPE: Trabalhadores/as do SERPRO Pernambuco aprovam greve por tempo indeterminado ---&gt; https://t.co/bOUJnSBsUi
#sindpdpe #TICs #tra…";2022-08-04;0;1;Brasil;-1
1555320467388567561;alexynunes;"RT @Carolmph: Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi criado pe…";2022-08-04;0;12;#PrimeiramenteLulaNaCadeia;-1
1555317743079104517;garotadpi;RT @capitaldigital: VERSÃO AMPLIADA - - Trabalhadores do Serpro entram em greve no próximo dia 10 - Capital Digital https://t.co/IiVhXEtSUN;2022-08-04;0;3;Brasil;-1
1555314072366743556;sergioronnie;RT @capitaldigital: Por falta de acordo nas negociações trabalhistas, foi aprovada greve no Serpro para o dia 10 de agosto. A paralisação a…;2022-08-04;0;8;são luis ma;-1
1555312869239029760;garotadpi;RT @capitaldigital: Por falta de acordo nas negociações trabalhistas, foi aprovada greve no Serpro para o dia 10 de agosto. A paralisação a…;2022-08-04;0;8;Brasil;-1
1555306439014551554;lissandro1;Serpro Recife abre oportunidades de estágio. Saiba detalhes conferindo no A Voz da Vitória... https://t.co/hJ2xODvokk;2022-08-04;0;0;Vitória de Santo Antão, Brasil;-1
1555304134517133312;EmGovbr;"Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi… https://t.co/Sl7GfQ43DB";2022-08-04;0;0;Salvador - BA;-1
1555302952927100930;LucinhaCavassi2;Credencial para idosos estacionarem já pode ser emitida no site da Senatran https://t.co/HBvtNrgVut;2022-08-04;0;0;;-1
1555302795036721153;serluisilva;"RT @Carolmph: Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi criado pe…";2022-08-04;0;12;São Paulo, Brasil;-1
1555302340890136577;barbarasrosa;RT @capitaldigital: Por falta de acordo nas negociações trabalhistas, foi aprovada greve no Serpro para o dia 10 de agosto. A paralisação a…;2022-08-04;0;8;Brasília;-1
1555302151508955139;AgroecologyMap;RT @capitaldigital: Por falta de acordo nas negociações trabalhistas, foi aprovada greve no Serpro para o dia 10 de agosto. A paralisação a…;2022-08-04;0;8;Brasília, DF, Brasil;-1
1555301637304057864;rsp_2000;"RT @Carolmph: Credencial de estacionamento para idosos agora é emitida on-line.

Novo recurso, que livra o cidadão das filas, foi criado pe…";2022-08-04;0;12;Taubaté,SP, Brasil;-1
